LENGTH,WIDTH,HEIGHT,ITEM CODE NEW,,
310,70,45,REVIEW AND CREATE NEW,0,0
2700,420,420,14-119-1315622,0,0.11
55,55,65,REVIEW AND CREATE NEW,0,0
30,30,610,REVIEW AND CREATE NEW,0,0
60,60,510,REVIEW AND CREATE NEW,0,0
40,40,275,REVIEW AND CREATE NEW,0,0
160,80,80,REVIEW AND CREATE NEW,0,0
150,150,55,14-120-1328027,0,44
70,70,25,14-120-1306109,0,0
80,80,30,14-120-1306110,0,0
100,100,40,14-120-1306111,0,0
115,115,45,14-120-1306114,0,0
175,175,65,14-120-1306115,0,27.35
100,80,75,14-120-1308951,0,0
250,250,70,14-120-1308962,0,12.45
260,160,65,14-120-1308963,0,20.14
295,230,35,14-120-1308954,0,0
295,230,65,14-120-1308955,0,12.35
220,118,55,14-120-1308965,0,38.14
175,175,65,14-120-1303807,0,27.35
255,255,70,14-120-1303812,0,11.96
175,175,65,14-120-1303806,0,27.35
320,260,430,14-120-1304339,0,1.52
85,80,50,14-120-1308971,0,0
435,100,100,14-120-1304335,0,12.52
520,140,140,14-120-1304336,0,5.34
365,80,80,14-120-1304334,0,0
230,60,60,14-120-1304333,0,0
150,150,55,14-120-1328016,0,44
150,150,55,PENDING,0,44
175,175,65,14-120-1303805,0,27.35
175,175,65,14-120-1303809,0,27.35
255,255,70,14-120-1303813,0,11.96
300,300,110,14-120-1303815,0,5.5
110,105,55,14-120-1307713,0,85.71
120,110,85,14-120-1307714,0,48.53
145,100,55,14-120-1308973,0,68.28
410,290,65,REVIEW,0,7.05
540,70,540,REVIEW,0,0
190,190,445,REVIEW,0,3.39
560,330,170,REVIEW,0,1.73
345,265,100,REVIEW,0,5.96
250,250,110,PENDING,0,7.92
160,100,50,PENDING,0,0
200,210,105,PENDING,0,12.35
250,190,140,PENDING,0,8.19
428,228,235,PENDING,0,2.37
220,180,130,PENDING,0,10.58
190,160,145,14-120-1308763,0,12.35
270,235,210,14-120-1308932,0,4.09
270,270,15,14-117-1308977,0,0
125,125,15,14-117-1308976,0,0
510,360,15,14-117-1309011,0,0
510,285,15,14-117-1309706,0,0
300,300,15,14-117-1309707,0,0
230,190,170,14-120-1309142,0,7.33
150,150,55,PENDING,0,44
210,205,105,PENDING,0,12.05
320,220,70,PENDING,0,11.05
280,250,65,PENDING,0,11.97
245,180,65,PENDING,0,19
395,196,272,14-120-1308760,0,2.59
525,210,272,14-120-1308761,0,1.82
378,174,188,14-120-1308762,0,4.4
400,250,250,14-120-1334158,0,2.18
230,230,450,14-120-1334157,0,2.29
175,160,100,REVIEW,0,19.45
210,65,35,REVIEW AND CREATE NEW,0,0
380,180,110,14-120-1307723,0,7.24
420,180,140,14-120-1307724,0,5.14
